,Match_ID,Unique_Team_ID,MainTeam,Div,Season,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,Result,goals_scored,weather
608,1396,33,Hansa Rostock,D2,2011,2012-03-31,Munich 1860,Hansa Rostock,0,1,A,W,1,rain
610,1397,27,St Pauli,D2,2011,2012-04-22,St Pauli,Hansa Rostock,3,0,H,W,3,partly-cloudy-day
612,1398,10,Hertha,D1,2011,2011-09-25,Werder Bremen,Hertha,2,1,H,L,1,Clear
614,1399,10,Hertha,D1,2011,2012-01-21,Nurnberg,Hertha,2,0,H,L,0,partly-cloudy-day
616,1400,10,Hertha,D1,2011,2011-11-19,Freiburg,Hertha,2,2,D,D,2,partly-cloudy-day
618,1401,1,Bayern Munich,D1,2011,2011-10-15,Bayern Munich,Hertha,4,0,H,W,4,Clear
620,1402,6,M'gladbach,D1,2011,2012-04-07,M'gladbach,Hertha,0,0,D,D,0,partly-cloudy-day
622,1403,7,Wolfsburg,D1,2011,2011-10-29,Wolfsburg,Hertha,2,3,A,L,2,Clear
624,1404,10,Hertha,D1,2011,2011-08-21,Hannover,Hertha,1,1,D,D,1,Clear
626,1405,10,Hertha,D1,2011,2011-08-13,Hamburg,Hertha,2,2,D,D,2,partly-cloudy-day
628,1406,10,Hertha,D1,2011,2012-02-11,Stuttgart,Hertha,5,0,H,L,0,partly-cloudy-day
630,1407,2,Dortmund,D1,2011,2011-09-10,Dortmund,Hertha,1,2,A,L,1,partly-cloudy-day
632,1408,10,Hertha,D1,2011,2012-02-25,Augsburg,Hertha,3,0,H,L,0,partly-cloudy-day
634,1409,5,Schalke 04,D1,2011,2012-04-28,Schalke 04,Hertha,4,0,H,W,4,Clear
636,1410,3,Leverkusen,D1,2011,2012-04-14,Leverkusen,Hertha,3,3,D,D,3,Clear
638,1411,10,Hertha,D1,2011,2011-12-03,Kaiserslautern,Hertha,1,1,D,D,1,rain
640,1412,10,Hertha,D1,2011,2012-03-24,Mainz,Hertha,1,3,A,W,3,Clear
642,1413,8,FC Koln,D1,2011,2012-03-10,FC Koln,Hertha,1,0,H,W,1,partly-cloudy-day
644,1414,9,Hoffenheim,D1,2011,2011-12-17,Hoffenheim,Hertha,1,1,D,D,1,rain
646,1415,11,Mainz,D1,2011,2012-03-17,Augsburg,Mainz,2,1,H,L,1,Clear
648,1416,11,Mainz,D1,2011,2011-10-01,Nurnberg,Mainz,3,3,D,D,3,Clear
650,1417,11,Mainz,D1,2011,2011-08-13,Freiburg,Mainz,1,2,A,W,2,partly-cloudy-day
652,1418,11,Mainz,D1,2011,2012-04-28,Hamburg,Mainz,0,0,D,D,0,Clear
654,1419,9,Hoffenheim,D1,2011,2012-02-17,Hoffenheim,Mainz,1,1,D,D,1,rain
656,1420,11,Mainz,D1,2011,2012-03-31,Werder Bremen,Mainz,0,3,A,W,3,rain
658,1421,6,M'gladbach,D1,2011,2011-12-18,M'gladbach,Mainz,1,0,H,W,1,rain
660,1422,3,Leverkusen,D1,2011,2012-01-22,Leverkusen,Mainz,3,2,H,W,3,rain
662,1423,11,Mainz,D1,2011,2012-04-07,Stuttgart,Mainz,4,1,H,L,1,partly-cloudy-day
664,1424,8,FC Koln,D1,2011,2011-12-13,FC Koln,Mainz,1,1,D,D,1,rain
666,1425,2,Dortmund,D1,2011,2012-03-03,Dortmund,Mainz,2,1,H,W,2,Clear
668,1426,10,Hertha,D1,2011,2011-10-22,Hertha,Mainz,0,0,D,D,0,Clear
670,1427,11,Mainz,D1,2011,2011-08-28,Hannover,Mainz,1,1,D,D,1,partly-cloudy-day
672,1428,1,Bayern Munich,D1,2011,2012-04-14,Bayern Munich,Mainz,0,0,D,D,0,Clear
674,1429,7,Wolfsburg,D1,2011,2011-12-03,Wolfsburg,Mainz,2,2,D,D,2,rain
676,1430,11,Mainz,D1,2011,2011-09-17,Kaiserslautern,Mainz,3,1,H,L,1,partly-cloudy-day
678,1431,5,Schalke 04,D1,2011,2012-02-04,Schalke 04,Mainz,1,1,D,D,1,partly-cloudy-day
680,1432,14,Ein Frankfurt,D2,2011,2012-04-29,Ein Frankfurt,Munich 1860,0,2,A,L,0,Clear
682,1433,31,Cottbus,D2,2011,2011-08-06,Cottbus,Munich 1860,0,5,A,L,0,rain
684,1434,28,Bochum,D2,2011,2012-04-15,Bochum,Munich 1860,2,2,D,D,2,partly-cloudy-day
686,1435,37,Dresden,D2,2011,2012-03-23,Dresden,Munich 1860,0,1,A,L,0,clear-day
688,1436,33,Hansa Rostock,D2,2011,2011-10-14,Hansa Rostock,Munich 1860,2,0,H,W,2,Clear
690,1437,24,Greuther Furth,D2,2011,2011-09-25,Greuther Furth,Munich 1860,2,0,H,W,2,Clear
692,1438,32,Duisburg,D2,2011,2011-10-30,Duisburg,Munich 1860,0,3,A,L,0,Clear
694,1439,25,Fortuna Dusseldorf,D2,2011,2011-08-19,Fortuna Dusseldorf,Munich 1860,3,1,H,W,3,partly-cloudy-day
696,1440,39,Erzgebirge Aue,D2,2011,2012-03-14,Erzgebirge Aue,Munich 1860,0,0,D,D,0,partly-cloudy-day
698,1441,29,Karlsruhe,D2,2011,2011-12-17,Karlsruhe,Munich 1860,1,3,A,L,1,rain
700,1442,23,Braunschweig,D2,2011,2011-07-17,Braunschweig,Munich 1860,3,1,H,W,3,rain
702,1443,42,Munich 1860,D2,2011,2012-03-10,Frankfurt FSV,Munich 1860,3,1,H,L,1,partly-cloudy-day
704,1444,21,Paderborn,D2,2011,2012-04-08,Paderborn,Munich 1860,2,2,D,D,2,Clear
706,1445,35,Union Berlin,D2,2011,2012-02-24,Union Berlin,Munich 1860,0,1,A,L,0,rain
708,1446,34,Aachen,D2,2011,2011-12-04,Aachen,Munich 1860,2,2,D,D,2,partly-cloudy-day
710,1447,19,Ingolstadt,D2,2011,2011-11-18,Ingolstadt,Munich 1860,0,1,A,L,0,cloudy
712,1448,27,St Pauli,D2,2011,2011-09-11,St Pauli,Munich 1860,4,2,H,W,4,rain
714,1449,27,St Pauli,D2,2011,2011-08-12,Bochum,St Pauli,1,2,A,W,2,rain
716,1450,24,Greuther Furth,D2,2011,2012-04-13,Greuther Furth,St Pauli,2,1,H,W,2,partly-cloudy-day
718,1451,27,St Pauli,D2,2011,2012-03-18,Erzgebirge Aue,St Pauli,2,1,H,L,1,partly-cloudy-day
720,1452,27,St Pauli,D2,2011,2012-03-05,Munich 1860,St Pauli,1,1,D,D,1,Clear
722,1453,21,Paderborn,D2,2011,2011-12-02,Paderborn,St Pauli,1,1,D,D,1,rain
724,1454,27,St Pauli,D2,2011,2011-10-01,Cottbus,St Pauli,1,4,A,W,4,Clear
726,1455,27,St Pauli,D2,2011,2012-04-07,Frankfurt FSV,St Pauli,3,3,D,D,3,partly-cloudy-day
728,1456,19,Ingolstadt,D2,2011,2011-12-11,Ingolstadt,St Pauli,1,0,H,W,1,partly-cloudy-day
730,1457,27,St Pauli,D2,2011,2012-02-17,Duisburg,St Pauli,0,1,A,W,1,rain
732,1458,27,St Pauli,D2,2011,2011-09-19,Karlsruhe,St Pauli,0,2,A,W,2,rain
734,1459,27,St Pauli,D2,2011,2011-10-28,Union Berlin,St Pauli,0,2,A,W,2,partly-cloudy-day
736,1460,27,St Pauli,D2,2011,2012-04-29,Dresden,St Pauli,1,0,H,L,0,Clear
738,1461,27,St Pauli,D2,2011,2011-11-19,Hansa Rostock,St Pauli,1,3,A,W,3,partly-cloudy-day
740,1462,23,Braunschweig,D2,2011,2011-08-28,Braunschweig,St Pauli,1,0,H,W,1,partly-cloudy-day
742,1463,14,Ein Frankfurt,D2,2011,2011-07-25,Ein Frankfurt,St Pauli,1,1,D,D,1,partly-cloudy-day
744,1464,25,Fortuna Dusseldorf,D2,2011,2012-04-02,Fortuna Dusseldorf,St Pauli,0,0,D,D,0,rain
746,1465,27,St Pauli,D2,2011,2012-02-04,Aachen,St Pauli,2,1,H,L,1,partly-cloudy-day
748,1466,7,Wolfsburg,D1,2011,2011-08-06,FC Koln,Wolfsburg,0,3,A,W,3,rain
750,1467,7,Wolfsburg,D1,2011,2012-03-03,Kaiserslautern,Wolfsburg,0,0,D,D,0,Clear
752,1468,2,Dortmund,D1,2011,2011-11-05,Dortmund,Wolfsburg,5,1,H,W,5,Clear
754,1469,3,Leverkusen,D1,2011,2011-10-01,Leverkusen,Wolfsburg,3,1,H,W,3,Clear
756,1470,7,Wolfsburg,D1,2011,2011-10-22,Hamburg,Wolfsburg,1,1,D,D,1,Clear
758,1471,7,Wolfsburg,D1,2011,2011-12-10,Werder Bremen,Wolfsburg,4,1,H,L,1,partly-cloudy-day
760,1472,5,Schalke 04,D1,2011,2012-02-19,Schalke 04,Wolfsburg,4,0,H,W,4,rain
762,1473,7,Wolfsburg,D1,2011,2011-11-26,Augsburg,Wolfsburg,2,0,H,L,0,rain
764,1474,7,Wolfsburg,D1,2011,2012-05-05,Stuttgart,Wolfsburg,3,2,H,L,2,rain
766,1475,7,Wolfsburg,D1,2011,2012-03-31,Hertha,Wolfsburg,1,4,A,W,4,rain
768,1476,7,Wolfsburg,D1,2011,2012-04-20,Mainz,Wolfsburg,0,0,D,D,0,Clear
770,1477,6,M'gladbach,D1,2011,2011-08-19,M'gladbach,Wolfsburg,4,1,H,W,4,partly-cloudy-day
772,1478,7,Wolfsburg,D1,2011,2012-03-17,Nurnberg,Wolfsburg,1,3,A,W,3,Clear
774,1479,7,Wolfsburg,D1,2011,2011-09-17,Hoffenheim,Wolfsburg,3,1,H,L,1,partly-cloudy-day
776,1480,7,Wolfsburg,D1,2011,2012-04-11,Hannover,Wolfsburg,2,0,H,L,0,partly-cloudy-day
778,1481,1,Bayern Munich,D1,2011,2012-01-28,Bayern Munich,Wolfsburg,2,0,H,W,2,partly-cloudy-day
780,1482,7,Wolfsburg,D1,2011,2011-08-27,Freiburg,Wolfsburg,3,0,H,L,0,partly-cloudy-day
782,1483,3,Leverkusen,D1,2011,2012-03-17,Leverkusen,M'gladbach,1,2,A,L,1,Clear
784,1484,6,M'gladbach,D1,2011,2011-10-22,Hoffenheim,M'gladbach,1,0,H,L,0,Clear
786,1485,6,M'gladbach,D1,2011,2012-05-05,Mainz,M'gladbach,0,3,A,W,3,rain
788,1486,5,Schalke 04,D1,2011,2011-08-28,Schalke 04,M'gladbach,1,0,H,W,1,partly-cloudy-day
790,1487,6,M'gladbach,D1,2011,2012-02-18,Kaiserslautern,M'gladbach,1,2,A,W,2,partly-cloudy-day
792,1488,6,M'gladbach,D1,2011,2011-09-17,Hamburg,M'gladbach,0,1,A,W,1,partly-cloudy-day
794,1489,6,M'gladbach,D1,2011,2012-02-04,Wolfsburg,M'gladbach,0,0,D,D,0,partly-cloudy-day
796,1490,6,M'gladbach,D1,2011,2012-04-01,Hannover,M'gladbach,2,1,H,L,1,partly-cloudy-day
798,1491,1,Bayern Munich,D1,2011,2011-08-07,Bayern Munich,M'gladbach,0,1,A,L,0,rain
800,1492,2,Dortmund,D1,2011,2012-04-21,Dortmund,M'gladbach,2,0,H,W,2,partly-cloudy-day
802,1493,6,M'gladbach,D1,2011,2011-12-10,Augsburg,M'gladbach,1,0,H,L,0,partly-cloudy-day
804,1494,6,M'gladbach,D1,2011,2012-04-10,Werder Bremen,M'gladbach,2,2,D,D,2,partly-cloudy-day
806,1495,6,M'gladbach,D1,2011,2012-03-04,Nurnberg,M'gladbach,1,0,H,L,0,Clear
808,1496,6,M'gladbach,D1,2011,2012-01-29,Stuttgart,M'gladbach,0,3,A,W,3,Clear
810,1497,6,M'gladbach,D1,2011,2011-11-05,Hertha,M'gladbach,1,2,A,W,2,Clear
812,1498,6,M'gladbach,D1,2011,2011-11-25,FC Koln,M'gladbach,0,3,A,W,3,rain
814,1499,6,M'gladbach,D1,2011,2011-10-01,Freiburg,M'gladbach,1,0,H,L,0,Clear
816,1500,31,Cottbus,D2,2011,2012-02-06,Munich 1860,Cottbus,2,0,H,L,0,Clear
818,1501,31,Cottbus,D2,2011,2011-12-11,Dresden,Cottbus,2,1,H,L,1,partly-cloudy-day
820,1502,31,Cottbus,D2,2011,2011-10-28,Hansa Rostock,Cottbus,1,1,D,D,1,partly-cloudy-day
822,1503,21,Paderborn,D2,2011,2012-04-15,Paderborn,Cottbus,3,1,H,W,3,partly-cloudy-day
824,1504,28,Bochum,D2,2011,2011-11-21,Bochum,Cottbus,0,1,A,L,0,Clear
826,1505,31,Cottbus,D2,2011,2011-07-22,Duisburg,Cottbus,1,2,A,W,2,rain
828,1506,14,Ein Frankfurt,D2,2011,2012-03-04,Ein Frankfurt,Cottbus,1,0,H,W,1,Clear
830,1507,31,Cottbus,D2,2011,2011-08-13,Aachen,Cottbus,0,2,A,W,2,partly-cloudy-day
832,1508,31,Cottbus,D2,2011,2011-08-29,Erzgebirge Aue,Cottbus,0,0,D,D,0,partly-cloudy-day
834,1509,24,Greuther Furth,D2,2011,2012-04-05,Greuther Furth,Cottbus,3,0,H,W,3,partly-cloudy-day
836,1510,29,Karlsruhe,D2,2011,2012-02-17,Karlsruhe,Cottbus,2,0,H,W,2,rain
838,1511,27,St Pauli,D2,2011,2012-03-25,St Pauli,Cottbus,0,0,D,D,0,partly-cloudy-day
840,1512,31,Cottbus,D2,2011,2011-10-16,Frankfurt FSV,Cottbus,0,1,A,W,1,Clear
842,1513,31,Cottbus,D2,2011,2011-12-02,Union Berlin,Cottbus,1,0,H,L,0,rain
844,1514,19,Ingolstadt,D2,2011,2012-04-29,Ingolstadt,Cottbus,1,0,H,W,1,Clear
846,1515,23,Braunschweig,D2,2011,2011-09-17,Braunschweig,Cottbus,3,1,H,W,3,partly-cloudy-day
848,1516,25,Fortuna Dusseldorf,D2,2011,2011-09-24,Fortuna Dusseldorf,Cottbus,4,2,H,W,4,Clear
850,1517,21,Paderborn,D2,2011,2011-08-13,Paderborn,Greuther Furth,0,1,A,L,0,partly-cloudy-day
852,1518,24,Greuther Furth,D2,2011,2012-04-20,Frankfurt FSV,Greuther Furth,1,1,D,D,1,Clear
854,1519,24,Greuther Furth,D2,2011,2012-02-03,Dresden,Greuther Furth,3,1,H,L,1,partly-cloudy-day
856,1520,23,Braunschweig,D2,2011,2012-04-10,Braunschweig,Greuther Furth,0,0,D,D,0,partly-cloudy-day
858,1521,24,Greuther Furth,D2,2011,2011-11-28,Fortuna Dusseldorf,Greuther Furth,2,1,H,L,1,partly-cloudy-day
860,1522,24,Greuther Furth,D2,2011,2012-03-02,Duisburg,Greuther Furth,0,2,A,W,2,partly-cloudy-day
862,1523,24,Greuther Furth,D2,2011,2011-08-26,Bochum,Greuther Furth,1,4,A,W,4,Clear
864,1524,24,Greuther Furth,D2,2011,2012-03-31,Erzgebirge Aue,Greuther Furth,1,1,D,D,1,rain
866,1525,24,Greuther Furth,D2,2011,2011-07-23,Union Berlin,Greuther Furth,0,4,A,W,4,rain
868,1526,24,Greuther Furth,D2,2011,2011-10-22,Cottbus,Greuther Furth,0,2,A,W,2,Clear
870,1527,24,Greuther Furth,D2,2011,2011-11-05,St Pauli,Greuther Furth,2,2,D,D,2,Clear
872,1528,24,Greuther Furth,D2,2011,2012-05-06,Hansa Rostock,Greuther Furth,2,2,D,D,2,rain
874,1529,24,Greuther Furth,D2,2011,2011-09-18,Aachen,Greuther Furth,0,0,D,D,0,rain
876,1530,24,Greuther Furth,D2,2011,2011-10-02,Karlsruhe,Greuther Furth,2,2,D,D,2,Clear
878,1531,19,Ingolstadt,D2,2011,2012-02-19,Ingolstadt,Greuther Furth,0,0,D,D,0,rain
880,1532,14,Ein Frankfurt,D2,2011,2011-12-12,Ein Frankfurt,Greuther Furth,0,0,D,D,0,rain
882,1533,24,Greuther Furth,D2,2011,2012-03-17,Munich 1860,Greuther Furth,1,4,A,W,4,Clear
884,1534,14,Ein Frankfurt,D2,2011,2011-11-20,Ein Frankfurt,Aachen,4,3,H,W,4,Clear
886,1535,33,Hansa Rostock,D2,2011,2011-08-19,Hansa Rostock,Aachen,0,0,D,D,0,partly-cloudy-day
888,1536,34,Aachen,D2,2011,2012-03-23,Frankfurt FSV,Aachen,2,1,H,L,1,clear-day
890,1537,21,Paderborn,D2,2011,2011-09-09,Paderborn,Aachen,0,0,D,D,0,partly-cloudy-day
892,1538,32,Duisburg,D2,2011,2012-04-14,Duisburg,Aachen,2,0,H,W,2,Clear
894,1539,34,Aachen,D2,2011,2011-10-16,Dresden,Aachen,1,1,D,D,1,Clear
896,1540,34,Aachen,D2,2011,2012-05-06,Munich 1860,Aachen,1,2,A,W,2,rain
898,1541,23,Braunschweig,D2,2011,2011-12-18,Braunschweig,Aachen,1,1,D,D,1,rain
900,1542,31,Cottbus,D2,2011,2012-02-10,Cottbus,Aachen,1,1,D,D,1,partly-cloudy-day
902,1543,34,Aachen,D2,2011,2011-09-24,Union Berlin,Aachen,2,0,H,L,0,Clear
904,1544,25,Fortuna Dusseldorf,D2,2011,2012-02-27,Fortuna Dusseldorf,Aachen,0,0,D,D,0,rain
906,1545,27,St Pauli,D2,2011,2011-08-05,St Pauli,Aachen,3,1,H,W,3,rain
908,1546,24,Greuther Furth,D2,2011,2012-03-09,Greuther Furth,Aachen,1,0,H,W,1,partly-cloudy-day
910,1547,19,Ingolstadt,D2,2011,2012-04-08,Ingolstadt,Aachen,3,3,D,D,3,Clear
912,1548,28,Bochum,D2,2011,2011-10-28,Bochum,Aachen,1,0,H,W,1,partly-cloudy-day
914,1549,29,Karlsruhe,D2,2011,2011-11-26,Karlsruhe,Aachen,0,2,A,L,0,rain
916,1550,34,Aachen,D2,2011,2011-07-16,Erzgebirge Aue,Aachen,1,0,H,L,0,Clear
918,1551,35,Union Berlin,D2,2011,2011-07-15,Frankfurt FSV,Union Berlin,1,1,D,D,1,partly-cloudy-day
920,1552,31,Cottbus,D2,2011,2012-05-06,Cottbus,Union Berlin,2,1,H,W,2,rain
922,1553,33,Hansa Rostock,D2,2011,2011-11-25,Hansa Rostock,Union Berlin,2,5,A,L,2,rain
924,1554,32,Duisburg,D2,2011,2011-09-17,Duisburg,Union Berlin,1,1,D,D,1,partly-cloudy-day
926,1555,19,Ingolstadt,D2,2011,2012-03-02,Ingolstadt,Union Berlin,3,3,D,D,3,partly-cloudy-day
928,1556,21,Paderborn,D2,2011,2012-02-03,Paderborn,Union Berlin,3,2,H,W,3,partly-cloudy-day
930,1557,34,Aachen,D2,2011,2012-03-16,Aachen,Union Berlin,1,3,A,L,1,Clear
932,1558,35,Union Berlin,D2,2011,2011-10-23,Erzgebirge Aue,Union Berlin,1,1,D,D,1,Clear
934,1559,29,Karlsruhe,D2,2011,2012-04-01,Karlsruhe,Union Berlin,2,0,H,W,2,partly-cloudy-day
936,1560,28,Bochum,D2,2011,2012-02-18,Bochum,Union Berlin,4,2,H,W,4,partly-cloudy-day
938,1561,25,Fortuna Dusseldorf,D2,2011,2012-04-22,Fortuna Dusseldorf,Union Berlin,2,1,H,W,2,partly-cloudy-day
940,1562,23,Braunschweig,D2,2011,2011-11-04,Braunschweig,Union Berlin,1,2,A,L,1,Clear
942,1563,35,Union Berlin,D2,2011,2011-08-12,Dresden,Union Berlin,4,0,H,L,0,rain
944,1564,24,Greuther Furth,D2,2011,2011-12-16,Greuther Furth,Union Berlin,5,0,H,W,5,rain
946,1565,14,Ein Frankfurt,D2,2011,2011-09-30,Ein Frankfurt,Union Berlin,3,1,H,W,3,Clear
948,1566,35,Union Berlin,D2,2011,2011-08-28,Munich 1860,Union Berlin,3,1,H,L,1,partly-cloudy-day
950,1567,27,St Pauli,D2,2011,2012-04-10,St Pauli,Union Berlin,2,1,H,W,2,partly-cloudy-day
952,1568,23,Braunschweig,D2,2011,2011-11-18,Duisburg,Braunschweig,3,0,H,L,0,cloudy
954,1569,23,Braunschweig,D2,2011,2012-04-29,Bochum,Braunschweig,2,0,H,L,0,Clear
956,1570,23,Braunschweig,D2,2011,2012-04-07,Dresden,Braunschweig,2,2,D,D,2,partly-cloudy-day
958,1571,23,Braunschweig,D2,2011,2011-09-23,Frankfurt FSV,Braunschweig,1,1,D,D,1,partly-cloudy-day
960,1572,21,Paderborn,D2,2011,2011-10-14,Paderborn,Braunschweig,1,0,H,W,1,Clear
962,1573,23,Braunschweig,D2,2011,2012-03-24,Fortuna Dusseldorf,Braunschweig,1,1,D,D,1,Clear
964,1574,23,Braunschweig,D2,2011,2011-07-24,Aachen,Braunschweig,0,2,A,W,2,partly-cloudy-day
966,1575,23,Braunschweig,D2,2011,2012-02-26,St Pauli,Braunschweig,0,0,D,D,0,partly-cloudy-day
968,1576,23,Braunschweig,D2,2011,2012-03-11,Cottbus,Braunschweig,1,1,D,D,1,partly-cloudy-day
970,1577,23,Braunschweig,D2,2011,2011-10-31,Greuther Furth,Braunschweig,1,3,A,W,3,partly-cloudy-day
972,1578,23,Braunschweig,D2,2011,2011-12-09,Munich 1860,Braunschweig,3,0,H,L,0,partly-cloudy-day
974,1579,23,Braunschweig,D2,2011,2011-09-09,Hansa Rostock,Braunschweig,0,0,D,D,0,partly-cloudy-day
976,1580,14,Ein Frankfurt,D2,2011,2012-02-05,Ein Frankfurt,Braunschweig,2,1,H,W,2,partly-cloudy-day
978,1581,23,Braunschweig,D2,2011,2012-04-13,Union Berlin,Braunschweig,1,0,H,L,0,partly-cloudy-day
980,1582,19,Ingolstadt,D2,2011,2011-12-02,Ingolstadt,Braunschweig,0,1,A,L,0,rain
982,1583,23,Braunschweig,D2,2011,2012-02-20,Erzgebirge Aue,Braunschweig,1,1,D,D,1,partly-cloudy-day
984,1584,23,Braunschweig,D2,2011,2011-08-12,Karlsruhe,Braunschweig,1,3,A,W,3,rain
986,1585,35,Union Berlin,D2,2011,2012-04-05,Union Berlin,Erzgebirge Aue,1,0,H,W,1,partly-cloudy-day
988,1586,28,Bochum,D2,2011,2011-12-04,Bochum,Erzgebirge Aue,6,0,H,W,6,partly-cloudy-day
990,1587,39,Erzgebirge Aue,D2,2011,2011-09-11,Frankfurt FSV,Erzgebirge Aue,1,1,D,D,1,rain
992,1588,33,Hansa Rostock,D2,2011,2012-03-25,Hansa Rostock,Erzgebirge Aue,0,1,A,L,0,partly-cloudy-day
994,1589,27,St Pauli,D2,2011,2011-09-23,St Pauli,Erzgebirge Aue,2,3,A,L,2,partly-cloudy-day
996,1590,39,Erzgebirge Aue,D2,2011,2011-08-14,Munich 1860,Erzgebirge Aue,4,0,H,L,0,rain
998,1591,24,Greuther Furth,D2,2011,2011-10-16,Greuther Furth,Erzgebirge Aue,2,0,H,W,2,Clear
1000,1592,21,Paderborn,D2,2011,2011-10-29,Paderborn,Erzgebirge Aue,1,0,H,W,1,Clear
1002,1593,32,Duisburg,D2,2011,2012-04-29,Duisburg,Erzgebirge Aue,2,1,H,W,2,Clear
1004,1594,14,Ein Frankfurt,D2,2011,2012-04-14,Ein Frankfurt,Erzgebirge Aue,4,0,H,W,4,Clear
1006,1595,34,Aachen,D2,2011,2011-12-11,Aachen,Erzgebirge Aue,1,1,D,D,1,partly-cloudy-day
1008,1596,19,Ingolstadt,D2,2011,2011-07-22,Ingolstadt,Erzgebirge Aue,0,0,D,D,0,rain
1010,1597,37,Dresden,D2,2011,2011-11-20,Dresden,Erzgebirge Aue,1,2,A,L,1,Clear
1012,1598,23,Braunschweig,D2,2011,2011-08-20,Braunschweig,Erzgebirge Aue,1,1,D,D,1,Clear
1014,1599,29,Karlsruhe,D2,2011,2012-02-05,Karlsruhe,Erzgebirge Aue,2,1,H,W,2,partly-cloudy-day
1016,1600,31,Cottbus,D2,2011,2012-02-25,Cottbus,Erzgebirge Aue,2,0,H,W,2,partly-cloudy-day
1018,1601,25,Fortuna Dusseldorf,D2,2011,2012-03-10,Fortuna Dusseldorf,Erzgebirge Aue,3,1,H,W,3,partly-cloudy-day
1020,1602,21,Paderborn,D2,2011,2011-07-17,Hansa Rostock,Paderborn,1,2,A,W,2,rain
1022,1603,21,Paderborn,D2,2011,2011-10-02,Duisburg,Paderborn,0,1,A,W,1,Clear
1024,1604,21,Paderborn,D2,2011,2011-12-16,Fortuna Dusseldorf,Paderborn,2,3,A,W,3,rain
1026,1605,21,Paderborn,D2,2011,2012-04-22,Karlsruhe,Paderborn,2,0,H,L,0,partly-cloudy-day
1028,1606,21,Paderborn,D2,2011,2012-03-03,Aachen,Paderborn,0,3,A,W,3,Clear
1030,1607,21,Paderborn,D2,2011,2011-08-21,Dresden,Paderborn,1,2,A,W,2,Clear
1032,1608,14,Ein Frankfurt,D2,2011,2011-08-28,Ein Frankfurt,Paderborn,0,0,D,D,0,partly-cloudy-day
1034,1609,21,Paderborn,D2,2011,2011-09-18,Bochum,Paderborn,0,4,A,W,4,rain
1036,1610,21,Paderborn,D2,2011,2012-05-06,St Pauli,Paderborn,5,0,H,L,0,rain
1038,1611,21,Paderborn,D2,2011,2012-02-12,Greuther Furth,Paderborn,5,1,H,L,1,partly-cloudy-day
1040,1612,21,Paderborn,D2,2011,2011-11-25,Frankfurt FSV,Paderborn,2,2,D,D,2,rain
1042,1613,21,Paderborn,D2,2011,2011-08-05,Union Berlin,Paderborn,3,0,H,L,0,rain
1044,1614,21,Paderborn,D2,2011,2012-04-11,Erzgebirge Aue,Paderborn,0,2,A,W,2,partly-cloudy-day
1046,1615,21,Paderborn,D2,2011,2012-03-30,Braunschweig,Paderborn,0,0,D,D,0,partly-cloudy-day
1048,1616,21,Paderborn,D2,2011,2011-10-21,Munich 1860,Paderborn,1,1,D,D,1,partly-cloudy-day
1050,1617,21,Paderborn,D2,2011,2011-11-06,Cottbus,Paderborn,0,2,A,W,2,Clear
1052,1618,19,Ingolstadt,D2,2011,2012-03-17,Ingolstadt,Paderborn,4,0,H,W,4,Clear
1054,1619,15,Augsburg,D1,2011,2011-08-27,Nurnberg,Augsburg,1,0,H,L,0,partly-cloudy-day
1056,1620,13,Werder Bremen,D1,2011,2012-03-24,Werder Bremen,Augsburg,1,1,D,D,1,Clear
1058,1621,15,Augsburg,D1,2011,2011-11-20,Stuttgart,Augsburg,2,1,H,L,1,Clear
1060,1622,12,Hamburg,D1,2011,2011-12-17,Hamburg,Augsburg,1,1,D,D,1,rain
1062,1623,1,Bayern Munich,D1,2011,2012-04-07,Bayern Munich,Augsburg,2,1,H,W,2,partly-cloudy-day
1064,1624,6,M'gladbach,D1,2011,2012-04-28,M'gladbach,Augsburg,0,0,D,D,0,Clear
1066,1625,9,Hoffenheim,D1,2011,2012-02-04,Hoffenheim,Augsburg,2,2,D,D,2,partly-cloudy-day
1068,1626,8,FC Koln,D1,2011,2011-10-30,FC Koln,Augsburg,3,0,H,W,3,Clear
1070,1627,5,Schalke 04,D1,2011,2011-12-04,Schalke 04,Augsburg,3,1,H,W,3,partly-cloudy-day
1072,1628,15,Augsburg,D1,2011,2012-03-03,Hannover,Augsburg,2,2,D,D,2,Clear
1074,1629,10,Hertha,D1,2011,2011-09-17,Hertha,Augsburg,2,2,D,D,2,partly-cloudy-day
1076,1630,11,Mainz,D1,2011,2011-10-15,Mainz,Augsburg,0,1,A,L,0,Clear
1078,1631,3,Leverkusen,D1,2011,2012-02-18,Leverkusen,Augsburg,4,1,H,W,4,partly-cloudy-day
1080,1632,7,Wolfsburg,D1,2011,2012-04-14,Wolfsburg,Augsburg,1,2,A,L,1,Clear
1082,1633,15,Augsburg,D1,2011,2011-08-14,Kaiserslautern,Augsburg,1,1,D,D,1,rain
1084,1634,2,Dortmund,D1,2011,2011-10-01,Dortmund,Augsburg,4,0,H,W,4,Clear
1086,1635,15,Augsburg,D1,2011,2012-01-21,Freiburg,Augsburg,1,0,H,L,0,partly-cloudy-day
1088,1636,9,Hoffenheim,D1,2011,2011-11-20,Hamburg,Hoffenheim,2,0,H,L,0,Clear
